001205.SZ,盛航股份
688365.SH,光云科技
603698.SH,航天工程
603161.SH,科华控股
003017.SZ,大洋生物
603077.SH,和邦生物
300883.SZ,龙利得
002700.SZ,ST浩源
300087.SZ,荃银高科
001268.SZ,联合精密
300589.SZ,江龙船艇
002856.SZ,美芝股份
605366.SH,宏柏新材
603687.SH,大胜达
300691.SZ,联合光电
300070.SZ,碧水源
600094.SH,大名城
688425.SH,铁建重工
603919.SH,金徽酒
605020.SH,永和股份
603848.SH,好太太
600149.SH,廊坊发展
002681.SZ,奋达科技
600578.SH,京能电力
300828.SZ,锐新科技
300958.SZ,建工修复
300973.SZ,立高食品
002541.SZ,鸿路钢构
688518.SH,联赢激光
000609.SZ,中迪投资
301113.SZ,雅艺科技
301028.SZ,东亚机械
300471.SZ,厚普股份
600235.SH,民丰特纸
600749.SH,西藏旅游
605007.SH,五洲特纸
688418.SH,震有科技
301368.SZ,丰立智能
601595.SH,上海电影
000767.SZ,晋控电力
605338.SH,巴比食品
601021.SH,春秋航空
688262.SH,国芯科技
002185.SZ,华天科技
600361.SH,创新新材
000932.SZ,华菱钢铁
002596.SZ,海南瑞泽
000893.SZ,亚钾国际
603071.SH,物产环能
601949.SH,中国出版
600804.SH,ST鹏博士
600617.SH,国新能源
002767.SZ,先锋电子
600693.SH,东百集团
600127.SH,金健米业
600962.SH,国投中鲁
002727.SZ,一心堂
603967.SH,中创物流
600467.SH,好当家
603016.SH,新宏泰
603587.SH,地素时尚
002153.SZ,石基信息
605068.SH,明新旭腾
301045.SZ,天禄科技
301062.SZ,上海艾录
002315.SZ,焦点科技
000928.SZ,中钢国际
002649.SZ,博彦科技
002252.SZ,上海莱士
300022.SZ,吉峰科技
300152.SZ,新动力
300624.SZ,万兴科技
603022.SH,新通联
300423.SZ,昇辉科技
600208.SH,新湖中宝
600359.SH,新农开发
000802.SZ,北京文化
002691.SZ,冀凯股份
300538.SZ,同益股份
000791.SZ,甘肃电投
000978.SZ,桂林旅游
301008.SZ,宏昌科技
002103.SZ,广博股份
688178.SH,万德斯
601368.SH,绿城水务
688683.SH,莱尔科技
002286.SZ,保龄宝
603151.SH,邦基科技
600560.SH,金自天正
603058.SH,永吉股份
